GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
105377800	0.051	0.00000216	0.443	4.7377626	2.09732222	107.58	LOC105377800	uncharacterized LOC105377800
653635	1	0.26664967	0.501	1.1108111	0.55673794	331.55	WASH7P	WASP family homolog 7, pseudogene
102466751	1	0.65354074	0.622	0.4488488	0.27913564	16.73	MIR6859-1	microRNA 6859-1
100996442	1	0.30504579	0.32	1.0256729	0.32815029	169.62	LOC100996442	WAS protein family homolog 2-like
729737	1	0.1777883	0.667	1.3475962	0.89821966	117.41	LOC729737	uncharacterized LOC729737
102725121	1	0.45183232	0.679	0.7523638	0.51081128	11.46	DDX11L17	DEAD/H-box helicase 11 like 17 (pseudogene)
102465909	1	0.76307591	0.616	0.301444	0.18557899	10.37	MIR6859-2	microRNA 6859-2
112268260	1	0.34478827	0.399	0.9447466	0.37732369	83.41	LOC112268260	uncharacterized LOC112268260
100132287	1	0.1182037	0.638	1.5623579	0.99678406	128.56	LOC100132287	uncharacterized LOC100132287
105378947	1	0.42096391	0.605	0.8047501	0.48688091	10.51	LOC105378947	proline-rich extensin-like protein EPR1
113219467	1	0.04477185	0.526	2.0067917	1.05465015	840.35	MIR12136	microRNA 12136
81399	1	0.16278124	0.27	1.3957784	0.3774798	45.45	OR4F16	olfactory receptor family 4 subfamily F member 16
100133331	1	0.06206025	0.684	1.865865	1.27673255	134.63	LOC100133331	replaced by ID 100288069
107984841	1	0.38610751	0.381	0.866698	0.32991165	46.41	LOC107984841	replaced by ID 100288069
107984847	1	0.10027925	0.557	1.6435014	0.9148415	77.5	LOC107984847	replaced by ID 100288069
107984849	1	0.34183285	0.526	0.95055	0.49970664	15.91	LOC107984849	replaced by ID 100288069
100288069	1	0.21392515	0.398	1.2428445	0.49508133	155.24	LOC100288069	uncharacterized LOC100288069
105378580	1	0.62665783	0.256	0.4864363	0.12444531	206.45	LINC01409	long intergenic non-protein coding RNA 1409
400728	1	0.17663595	0.391	1.3511857	0.52799353	52.68	FAM87B	family with sequence similarity 87 member B
79854	1	0.17303983	0.29	1.362501	0.39505426	39.85	LINC00115	long intergenic non-protein coding RNA 115
643837	1	0.70425801	0.174	-0.3795789	-0.06592291	681.27	LINC01128	long intergenic non-protein coding RNA 1128
