GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
1728	1.62e-26	8.42e-31	0.153	11.53872	1.7651805	390.92	NQO1	NAD(P)H quinone dehydrogenase 1
8425	4.98e-24	5.18e-28	0.1347	-10.97256	-1.477995	9568.71	LTBP4	latent transforming growth factor beta binding protein 4
107984950	2.23e-23	3.48e-27	0.0707	10.7991	0.7638476	255.04	LOC107984950	uncharacterized LOC107984950
8237	8.83e-23	1.84e-26	0.0809	-10.64515	-0.8616388	2112.78	USP11	ubiquitin specific peptidase 11
3151	5.07e-22	1.32e-25	0.1028	-10.45998	-1.0752262	1098.72	HMGN2	high mobility group nucleosomal binding domain 2
9429	9.76e-22	3.17e-25	0.2352	-10.37655	-2.4402474	219.43	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)
23544	9.76e-22	3.56e-25	0.4308	-10.36559	-4.4655896	107.73	SEZ6L	seizure related 6 homolog like
8932	7.06e-21	2.94e-24	0.0606	10.16178	0.6162275	1378.67	MBD2	methyl-CpG binding domain protein 2
102724009	7.11e-20	3.33e-23	0.0733	9.92235	0.7268139	855.58	KIF1C-AS1	KIF1C antisense RNA 1
220963	1.75e-18	9.10e-22	0.2613	-9.58659	-2.5045209	248.96	SLC16A9	solute carrier family 16 member 9
55132	2.35e-18	1.34e-21	0.0616	9.54643	0.5880211	645.99	LARP1B	La ribonucleoprotein 1B
54865	2.92e-18	1.82e-21	0.0777	9.51465	0.7391006	557.13	GPATCH4	G-patch domain containing 4 (gene/pseudogene)
105371629	7.17e-18	4.85e-21	0.2647	-9.41235	-2.491809	205.95	LOC105371629	uncharacterized LOC105371629
10058	1.17e-17	8.55e-21	0.0938	9.35264	0.8772793	557.96	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)
51002	9.02e-17	7.04e-20	0.1043	9.12708	0.9519376	461.72	TPRKB	TP53RK binding protein
84624	2.06e-16	1.71e-19	0.2948	-9.03039	-2.6621631	453.93	FNDC1	fibronectin type III domain containing 1
8738	3.46e-16	3.06e-19	0.0755	-8.9665	-0.6765266	824.06	CRADD	CASP2 and RIPK1 domain containing adaptor with death domain
152518	5.36e-16	5.02e-19	0.1968	8.91181	1.7541213	278.26	NFXL1	nuclear transcription factor, X-box binding like 1
4528	6.77e-16	6.69e-19	0.0648	8.87999	0.5749945	2264.57	MTIF2	mitochondrial translational initiation factor 2
221476	8.05e-16	8.38e-19	0.3034	-8.85488	-2.6867856	1782.57	PI16	peptidase inhibitor 16
84893	9.46e-16	1.03e-18	0.0542	8.83138	0.4788197	2743.14	FBH1	F-box DNA helicase 1
101927417	1.43e-15	1.64e-18	0.3928	-8.77988	-3.4490293	23.14	FHAD1-AS1	FHAD1 antisense RNA 1
105372210	1.99e-15	2.38e-18	0.3945	-8.73745	-3.4470621	42.77	LOC105372210	uncharacterized LOC105372210
3068	2.38e-15	2.97e-18	0.0608	8.71268	0.5296882	4558.7	HDGF	heparin binding growth factor
10307	2.72e-15	3.54e-18	0.1013	-8.69261	-0.8805162	509.83	APBB3	amyloid beta precursor protein binding family B member 3
56654	3.20e-15	4.32e-18	0.0747	-8.67	-0.6477164	1419.55	NPDC1	neural proliferation, differentiation and control 1
285175	4.96e-15	6.96e-18	0.4656	-8.61549	-4.0109988	33.35	UNC80	unc-80 homolog, NALCN channel complex subunit
105372208	6.02e-15	8.77e-18	0.3959	-8.58902	-3.400484	36.99	LOC105372208	
26033	9.14e-15	1.38e-17	0.3496	-8.53685	-2.9841021	157.28	ATRNL1	attractin like 1
9703	1.84e-14	2.88e-17	0.0511	8.45148	0.4318898	3468.56	BLTP2	bridge-like lipid transfer protein family member 2
151194	1.98e-14	3.19e-17	0.0696	8.4393	0.5875524	257.08	METTL21A	methyltransferase 21A, HSPA lysine
55831	2.17e-14	3.61e-17	0.0962	8.42485	0.8105488	2120.63	EMC3	ER membrane protein complex subunit 3
110599588	2.31e-14	3.97e-17	0.0929	8.41387	0.7819114	157.97	ASDURF	ASNSD1 upstream open reading frame
4054	2.58e-14	4.56e-17	0.1088	-8.3975	-0.9135474	3874.16	LTBP3	latent transforming growth factor beta binding protein 3
107986383	2.82e-14	5.29e-17	0.119	-8.38011	-0.9974892	83.88	LOC107986383	uncharacterized LOC107986383
335	2.82e-14	5.15e-17	0.2889	-8.38326	-2.4222177	1419.39	APOA1	apolipoprotein A1
51389	3.52e-14	6.77e-17	0.0786	8.351	0.6563447	1822.85	RWDD1	RWD domain containing 1
105379171	3.63e-14	7.18e-17	0.4392	-8.34411	-3.6648943	30.26	LOC105379171	uncharacterized LOC105379171
283651	3.95e-14	8.17e-17	0.1149	-8.3287	-0.9567228	106.43	HMGN2P46	high mobility group nucleosomal binding domain 2 pseudogene 46
23326	3.95e-14	8.22e-17	0.0616	-8.32809	-0.5129476	6237.1	USP22	ubiquitin specific peptidase 22
65094	4.80e-14	1.02e-16	0.1353	-8.3019	-1.1232267	337.14	JMJD4	jumonji domain containing 4
5226	6.78e-14	1.52e-16	0.0731	8.25515	0.6036679	881.45	PGD	phosphogluconate dehydrogenase
10749	6.78e-14	1.50e-16	0.0658	8.2568	0.5435947	29335.15	KIF1C	kinesin family member 1C
105374040	6.97e-14	1.60e-16	0.3292	8.24916	2.7157989	26.32	LOC105374040	uncharacterized LOC105374040
55768	8.96e-14	2.10e-16	0.068	8.21643	0.5590339	898.01	NGLY1	N-glycanase 1
26778	9.06e-14	2.17e-16	0.1172	-8.21241	-0.962765	62.11	SNORA70	small nucleolar RNA, H/ACA box 70
6919	9.60e-14	2.35e-16	0.0806	-8.20289	-0.661424	545.82	TCEA2	transcription elongation factor A2
57482	1.13e-13	2.82e-16	0.3727	-8.18091	-3.0494258	46.28	CRACD	capping protein inhibiting regulator of actin dynamics
9766	1.19e-13	3.11e-16	0.0624	-8.16915	-0.510066	1297.31	SUSD6	sushi domain containing 6
7517	1.19e-13	3.10e-16	0.0712	-8.16923	-0.581318	314.37	XRCC3	X-ray repair cross complementing 3
219402	1.25e-13	3.32e-16	0.0946	8.16121	0.7720456	2649.41	MTIF3	mitochondrial translational initiation factor 3
107985194	1.29e-13	3.60e-16	0.2402	-8.15142	-1.9583008	66.27	LINC02798	long intergenic non-protein coding RNA 2798
116841	1.29e-13	3.54e-16	0.1633	-8.15345	-1.3311196	1712.09	SNAP47	synaptosome associated protein 47
755	1.29e-13	3.63e-16	0.0617	-8.1504	-0.5031287	400.69	CFAP410	cilia and flagella associated protein 410
652	1.44e-13	4.12e-16	0.149	-8.13491	-1.212235	378.74	BMP4	bone morphogenetic protein 4
56967	1.89e-13	5.51e-16	0.2782	-8.09967	-2.2531509	481.94	C14orf132	chromosome 14 open reading frame 132
1033	2.17e-13	6.42e-16	0.1835	8.08107	1.4829642	50.44	CDKN3	cyclin dependent kinase inhibitor 3
7273	2.66e-13	8.02e-16	0.0834	8.05395	0.6718366	253540.7	TTN	titin
221120	2.79e-13	8.55e-16	0.0853	8.04603	0.6864798	240.59	ALKBH3	alkB homolog 3, alpha-ketoglutarate dependent dioxygenase
286101	4.30e-13	1.34e-15	0.1002	7.99067	0.800641	751.43	ZNF252P	zinc finger protein 252, pseudogene
10010	4.52e-13	1.43e-15	0.0617	7.98246	0.4922581	760.96	TANK	TRAF family member associated NFKB activator
