GeneID	Symbol	Description	log10baseMean	log2FC
100287102	DDX11L1	DEAD/H-box helicase 11 like 1 (pseudogene)	1.014	0.894
100996442	LOC100996442	WAS protein family homolog 2-like	1.785	0.254
729737	LOC729737	uncharacterized LOC729737	2.29	-0.421
102725121	DDX11L17	DEAD/H-box helicase 11 like 17 (pseudogene)	1.03	1.061
100132287	LOC100132287	uncharacterized LOC100132287	2.209	-0.594
113219467	MIR12136	microRNA 12136	5.025	0.446
100133331	LOC100133331	replaced by ID 100288069	2.281	-0.598
107984841	LOC107984841	replaced by ID 100288069	1.286	-0.4
643837	LINC01128	long intergenic non-protein coding RNA 1128	3.567	0.682
107984850	LOC107984850	uncharacterized LOC107984850	1.368	1.088
100130417	LINC02593	long intergenic non-protein coding RNA 2593	1.229	-2.313
107985728	LOC107985728	collagen alpha-1(III) chain-like	1.286	-2.278
148398	SAMD11	sterile alpha motif domain containing 11	2.111	-0.345
84069	PLEKHN1	pleckstrin homology domain containing N1	2.758	0.616
84808	PERM1	PPARGC1 and ESRR induced regulator, muscle 1	3.659	0.557
57801	HES4	hes family bHLH transcription factor 4	2.441	-0.831
375790	AGRN	agrin	3.021	-0.769
54991	C1orf159	chromosome 1 open reading frame 159	2.084	-0.423
7293	TNFRSF4	TNF receptor superfamily member 4	1.88	-0.768
109623456	SNORD167	small nucleolar RNA, C/D box 167	1.173	-0.49
126789	PUSL1	pseudouridine synthase like 1	2.168	0.191
54973	INTS11	integrator complex subunit 11	3.22	0.18
80772	CPTP	ceramide-1-phosphate transfer protein	3.253	0.504
1855	DVL1	dishevelled segment polarity protein 1	3.323	0.645
54587	MXRA8	matrix remodeling associated 8	3.08	-0.802
81669	CCNL2	cyclin L2	3.524	-0.279
64856	VWA1	von Willebrand factor A domain containing 1	2.642	-0.448
55210	ATAD3A	ATPase family AAA domain containing 3A	2.713	0.335
29101	SSU72	SSU72 homolog, RNA polymerase II CTD phosphatase	3.239	0.485
142678	MIB2	MIB E3 ubiquitin protein ligase 2	3.293	-0.243
8510	MMP23B	matrix metallopeptidase 23B	2.506	-0.646
984	CDK11B	cyclin dependent kinase 11B	3.129	0.197
8511	MMP23A	matrix metallopeptidase 23A (pseudogene)	2.373	-0.683
728642	CDK11A	cyclin dependent kinase 11A	2.966	0.226
112268218	LOC112268218	uncharacterized LOC112268218	1.794	-0.277
65220	NADK	NAD kinase	2.902	-0.222
339456	TMEM52	transmembrane protein 52	1.162	1.256
2563	GABRD	gamma-aminobutyric acid type A receptor subunit delta	1.194	-1.179
5590	PRKCZ	protein kinase C zeta	2.565	0.463
6497	SKI	SKI proto-oncogene	3.264	-0.365
79906	MORN1	MORN repeat containing 1	1.727	-0.277
100129534	LOC100129534	small nuclear ribonucleoprotein polypeptide N pseudogene	1.474	-0.389
9651	PLCH2	phospholipase C eta 2	1.107	-0.805
8764	TNFRSF14	TNF receptor superfamily member 14	2.786	-0.362
127281	PRXL2B	peroxiredoxin like 2B	2.27	0.351
63976	PRDM16	PR/SET domain 16	2.77	0.358
105378606	LOC105378606	uncharacterized LOC105378606	1.172	0.7
1953	MEGF6	multiple EGF like domains 6	2.602	-0.496
57212	TP73-AS1	TP73 antisense RNA 1	3.056	-0.274
57470	LRRC47	leucine rich repeat containing 47	3.331	-0.3
100133612	LINC01134	long intergenic non-protein coding RNA 1134	0.908	1.89
55966	AJAP1	adherens junctions associated protein 1	1.249	-1.454
261734	NPHP4	nephrocystin 4	2.3	-0.41
26038	CHD5	chromodomain helicase DNA binding protein 5	1.37	-2.572
83715	ESPN	espin	1.32	-0.496
8718	TNFRSF25	TNF receptor superfamily member 25	2.401	-0.434
79707	NOL9	nucleolar protein 9	2.69	-0.184
3104	ZBTB48	zinc finger and BTB domain containing 48	2.465	-0.341
107984913	LOC107984913	uncharacterized LOC107984913	1.434	1.04
