GeneID	Symbol	Description	log2(fold change)(Control vs DCM)	-log10(Pvalue)(Control vs DCM)
100287102	DDX11L1	DEAD/H-box helicase 11 like 1 (pseudogene)	0.894	1.928
100996442	LOC100996442	WAS protein family homolog 2-like	0.254	1.37
729737	LOC729737	uncharacterized LOC729737	-0.421	1.622
102725121	DDX11L17	DEAD/H-box helicase 11 like 17 (pseudogene)	1.061	1.783
100132287	LOC100132287	uncharacterized LOC100132287	-0.594	4.103
113219467	MIR12136	microRNA 12136	0.446	1.787
100133331	LOC100133331	replaced by ID 100288069	-0.598	4.091
107984841	LOC107984841	replaced by ID 100288069	-0.4	1.913
643837	LINC01128	long intergenic non-protein coding RNA 1128	0.682	5.57
107984850	LOC107984850	uncharacterized LOC107984850	1.088	2.485
100130417	LINC02593	long intergenic non-protein coding RNA 2593	-2.313	4.788
107985728	LOC107985728	collagen alpha-1(III) chain-like	-2.278	4.482
148398	SAMD11	sterile alpha motif domain containing 11	-0.345	1.763
84069	PLEKHN1	pleckstrin homology domain containing N1	0.616	3.336
84808	PERM1	PPARGC1 and ESRR induced regulator, muscle 1	0.557	2.469
57801	HES4	hes family bHLH transcription factor 4	-0.831	7.251
375790	AGRN	agrin	-0.769	5.128
54991	C1orf159	chromosome 1 open reading frame 159	-0.423	5.611
7293	TNFRSF4	TNF receptor superfamily member 4	-0.768	1.508
109623456	SNORD167	small nucleolar RNA, C/D box 167	-0.49	2.002
126789	PUSL1	pseudouridine synthase like 1	0.191	1.327
54973	INTS11	integrator complex subunit 11	0.18	2.463
80772	CPTP	ceramide-1-phosphate transfer protein	0.504	3.089
1855	DVL1	dishevelled segment polarity protein 1	0.645	8.343
54587	MXRA8	matrix remodeling associated 8	-0.802	3.519
81669	CCNL2	cyclin L2	-0.279	7.033
64856	VWA1	von Willebrand factor A domain containing 1	-0.448	1.788
55210	ATAD3A	ATPase family AAA domain containing 3A	0.335	5.629
29101	SSU72	SSU72 homolog, RNA polymerase II CTD phosphatase	0.485	6.292
142678	MIB2	MIB E3 ubiquitin protein ligase 2	-0.243	3.061
8510	MMP23B	matrix metallopeptidase 23B	-0.646	3.31
984	CDK11B	cyclin dependent kinase 11B	0.197	1.931
8511	MMP23A	matrix metallopeptidase 23A (pseudogene)	-0.683	2.983
728642	CDK11A	cyclin dependent kinase 11A	0.226	1.77
112268218	LOC112268218	uncharacterized LOC112268218	-0.277	1.843
65220	NADK	NAD kinase	-0.222	1.413
339456	TMEM52	transmembrane protein 52	1.256	6.897
2563	GABRD	gamma-aminobutyric acid type A receptor subunit delta	-1.179	2.645
5590	PRKCZ	protein kinase C zeta	0.463	4.368
6497	SKI	SKI proto-oncogene	-0.365	5.408
79906	MORN1	MORN repeat containing 1	-0.277	1.694
100129534	LOC100129534	small nuclear ribonucleoprotein polypeptide N pseudogene	-0.389	1.532
9651	PLCH2	phospholipase C eta 2	-0.805	2.116
8764	TNFRSF14	TNF receptor superfamily member 14	-0.362	2.493
127281	PRXL2B	peroxiredoxin like 2B	0.351	2.456
63976	PRDM16	PR/SET domain 16	0.358	2.507
105378606	LOC105378606	uncharacterized LOC105378606	0.7	1.395
1953	MEGF6	multiple EGF like domains 6	-0.496	1.805
57212	TP73-AS1	TP73 antisense RNA 1	-0.274	5.734
57470	LRRC47	leucine rich repeat containing 47	-0.3	4.14
100133612	LINC01134	long intergenic non-protein coding RNA 1134	1.89	5.492
55966	AJAP1	adherens junctions associated protein 1	-1.454	3.205
261734	NPHP4	nephrocystin 4	-0.41	2.718
26038	CHD5	chromodomain helicase DNA binding protein 5	-2.572	9.141
83715	ESPN	espin	-0.496	1.885
8718	TNFRSF25	TNF receptor superfamily member 25	-0.434	2.564
79707	NOL9	nucleolar protein 9	-0.184	2.337
3104	ZBTB48	zinc finger and BTB domain containing 48	-0.341	4.518
107984913	LOC107984913	uncharacterized LOC107984913	1.04	4.701
