sample_id,group
NF1,NF
NF10,NF
NF11,NF
NF12,NF
NF13,NF
NF14,NF
NF15,NF
NF2,NF
NF3,NF
NF4,NF
NF5,NF
NF6,NF
NF7,NF
NF8,NF
DCM2,DCM
DCM3,DCM
DCM4,DCM
DCM6,DCM
DCM8,DCM
DCM11,DCM
DCM12,DCM
DCM13,DCM
DCM14,DCM
DCM16,DCM
DCM17,DCM
DCM18,DCM
DCM19,DCM
DCM20,DCM
DCM21,DCM
DCM22,DCM
DCM24,DCM
DCM26,DCM
DCM28,DCM
DCM29,DCM
DCM31,DCM
DCM32,DCM
DCM33,DCM
DCM34,DCM
DCM35,DCM
DCM38,DCM
DCM39,DCM
DCM43,DCM
DCM44,DCM
DCM46,DCM
DCM72,DCM
DCM73,DCM
DCM74,DCM
DCM75,DCM
DCM76,DCM
DCM77,DCM
DCM78,DCM
ICM47,ICM
ICM49,ICM
ICM50,ICM
ICM52,ICM
ICM53,ICM
ICM54,ICM
ICM55,ICM
ICM56,ICM
ICM58,ICM
ICM59,ICM
ICM61,ICM
ICM63,ICM
ICM64,ICM
